timestamp,roll,pitch,yaw,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
3.48159e+07,-0.813421,1.11821,-1.73215,-nan,4.80806e+20,-1.22596e+23,2.75212e+11,3.31696e+09,-2.03568e+12
3.48209e+07,-2.07545,1.26402,1.25304,-nan,4.80924e+20,-1.22666e+23,2.75199e+11,3.40002e+09,-2.03636e+12
3.48259e+07,-1.15089,0.682152,0.475097,-nan,4.81049e+20,-1.22737e+23,2.75424e+11,3.56844e+09,-2.03691e+12
3.48309e+07,-0.642801,0.942537,-0.896294,-nan,4.81167e+20,-1.22808e+23,2.75593e+11,3.40798e+09,-2.03751e+12
3.48359e+07,-2.44907,1.18796,1.72345,-nan,4.81289e+20,-1.22879e+23,2.75551e+11,3.49528e+09,-2.03819e+12
3.48408e+07,-1.68901,0.929031,0.782551,-nan,4.81417e+20,-1.2295e+23,2.75659e+11,3.66894e+09,-2.03881e+12
3.48458e+07,-1.00013,0.849052,-0.326858,-nan,4.81544e+20,-1.23021e+23,2.75905e+11,3.63396e+09,-2.0394e+12
3.48508e+07,-1.72533,1.15945,-2.72631,-nan,4.81667e+20,-1.23093e+23,2.75813e+11,3.53816e+09,-2.04006e+12
3.48558e+07,-2.67375,0.93863,0.771445,-nan,4.81794e+20,-1.23164e+23,2.75915e+11,3.66127e+09,-2.04071e+12
3.48607e+07,-1.65278,0.553934,0.137858,-nan,4.81925e+20,-1.23235e+23,2.76186e+11,3.75369e+09,-2.04125e+12
3.48657e+07,-0.985623,1.0334,-0.980566,-nan,4.82052e+20,-1.23306e+23,2.76336e+11,3.62435e+09,-2.04187e+12
3.48707e+07,-2.62444,0.931456,2.04072,-nan,4.82183e+20,-1.23377e+23,2.76249e+11,3.75688e+09,-2.04251e+12
3.48757e+07,-2.24716,0.624748,0.733881,-nan,4.8232e+20,-1.23449e+23,2.76407e+11,3.94829e+09,-2.04308e+12
3.48807e+07,-1.45843,0.806775,-0.224697,-nan,4.82458e+20,-1.2352e+23,2.7664e+11,3.94915e+09,-2.04367e+12
3.48856e+07,-1.75454,1.11596,-2.13507,-nan,4.82591e+20,-1.23591e+23,2.76613e+11,3.81412e+09,-2.04432e+12
3.48906e+07,-2.93506,0.840164,1.37572,-nan,4.82731e+20,-1.23662e+23,2.76648e+11,3.99331e+09,-2.04494e+12
3.48956e+07,-2.35697,0.536724,0.474922,-nan,4.82875e+20,-1.23734e+23,2.7687e+11,4.138e+09,-2.04549e+12
